outcome,outcome_label,rho_including_india,p_including_india,n_including_india,rho_states_only,p_states_only,n_states_only,bootstrap95_low_states_only,bootstrap95_high_states_only,loo_min_rho,loo_max_rho,most_influential_state,max_abs_delta,bh_q_states_only,robust_direction
adl_limitation_pct,ADL Limitations (%),-0.222,0.1868,37,-0.24,0.1591,36,-0.494,0.064,-0.312,-0.202,Bihar,0.073,0.2784,sensitive
iadl_limitation_pct,IADL Limitations (%),0.217,0.1974,37,0.214,0.2092,36,-0.113,0.522,0.168,0.312,Odisha,0.097,0.2929,sensitive
poor_srh_pct,Poor Self-Rated Health (%),-0.087,0.6091,37,-0.098,0.5708,36,-0.434,0.257,-0.158,-0.033,Kerala,0.064,0.6659,sensitive
depression_cidi_pct,Depression — CIDI-SF (%),0.078,0.6505,36,0.065,0.7112,35,-0.298,0.401,-0.009,0.13,Uttar Pradesh,0.074,0.7112,sensitive
multimorbidity_index,Multimorbidity Index,-0.778,0.0,37,-0.777,0.0,36,-0.875,-0.607,-0.809,-0.765,Nagaland,0.032,0.0,stable
fall_pct,Fall Prevalence (%),0.317,0.0563,37,0.31,0.0658,36,-0.054,0.614,0.249,0.384,Kerala,0.074,0.1535,sensitive
death_rate_60plus_per1000,"Death Rate 60+ (per 1,000)",0.342,0.038,37,0.341,0.0417,36,0.013,0.62,0.291,0.419,Sikkim **,0.078,0.146,stable
