study_id,title,year,journal,pmid,pmcid,doi,intervention_name,endpoint_family,outcome_name,outcome_timepoint,effect_metric,effect_direction_beneficial,n_treatment,n_control,mean_treatment,sd_treatment,mean_control,sd_control,change_mean_treatment,change_sd_treatment,change_mean_control,change_sd_control,events_treatment,events_control,time_to_event_metric,log_effect,se_log_effect,ci_lower,ci_upper,p_value,extractor_method,source_used,source_locator,verification_status,duplicate_cohort_flag,risk_of_bias_overall,ready_for_pooling,notes,effect_estimate,effect_se,months,analysis_priority
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,DunedinPACE,24_months_itt,cohens_d_standardized_change_difference,Lower pace favorable,128.0,69.0,,,,,,,,,,,,,,-0.41,-0.09,P < 0.003,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",-0.25,0.0816326530612244,24,2
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC GrimAge,24_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128.0,69.0,,,,,,,,,,,,,,-0.07,0.17,P > 0.40,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",0.05,0.0612244897959183,24,2
37118425,Effect of long-term caloric restriction on DNA methylation measures of biological aging in healthy adults from the CALERIE trial.,2023,Nature Aging,37118425,,10.1038/s43587-022-00357-y,caloric_restriction,epigenetic_biological_age,PC PhenoAge,24_months_itt,cohens_d_standardized_change_difference,Direction depends on clock acceleration coding; extracted as reported,128.0,69.0,,,,,,,,,,,,,,-0.11,0.2,P > 0.50,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-022-00357-y,full_text_effect_size_and_ci_extracted,no,low,yes,"Standardized effect estimate and 95% CI extracted from the Nature Aging full text. The article reports n = 197 participants with DNAm data available (128 caloric restriction, 69 ad libitum control).",0.05,0.0790816326530612,24,2
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,DunedinPACE,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower pace favorable,,,,,,,,,,,,,,,,-0.31,-0.04,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.17,0.0688775510204081,36,2
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,GrimAge2,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower age-acceleration favorable,,,,,,,,,,,,,,,,-0.59,-0.06,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.32,0.135204081632653,36,2
39900648,"Individual and additive effects of vitamin D, omega-3 and exercise on DNA methylation clocks of biological aging in older adults from the DO-HEALTH trial.",2025,Nature Aging,39900648,PMC11922767,10.1038/s43587-024-00793-y,omega_3,epigenetic_biological_age,PhenoAge,36_months_itt_main_effect,cohens_d_standardized_change_difference,Lower age-acceleration favorable,,,,,,,,,,,,,,,,-0.3,-0.02,omega-3 main effect,manual_full_text_primary_source_extraction,publisher_html,https://www.nature.com/articles/s43587-024-00793-y,full_text_effect_size_and_ci_extracted,no,some_concern,yes,Main-effect estimate from the 2x2x2 factorial DO-HEALTH Bio-Age trial. The article reports n = 777 participants with DNAm measures at baseline and year 3.,-0.16,0.0714285714285714,36,2
