study_id,title,intervention_name,endpoint_family,source_type,source_locator,recommended_tool,notes
39024000.0,Assessing the Clinical Effectiveness of an Exergame-Based Exercise Training Program Using Ring Fit Adventure to Prevent and Postpone Frailty and Sarcopenia Among Older Adults in Rural Long-Term Care Facilities: Randomized Controlled Trial.,exercise,frailty_function,publisher_html,https://pubmed.ncbi.nlm.nih.gov/39024000/,webplotdigitizer_or_metaDigitise,Use figure digitization only if exact numeric tables or supplements are unavailable.
31761958.0,"Topical rapamycin reduces markers of senescence and aging in human skin: an exploratory, prospective, randomized trial.",rapamycin_mtor,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/31761958/,webplotdigitizer_or_metaDigitise,Use figure digitization only if exact numeric tables or supplements are unavailable.
40188830.0,Influence of rapamycin on safety and healthspan metrics after one year: PEARL trial results.,rapamycin_mtor,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/40188830/,webplotdigitizer_or_metaDigitise,Use figure digitization only if exact numeric tables or supplements are unavailable.
36482258.0,"The efficacy and safety of β-nicotinamide mononucleotide (NMN) supplementation in healthy middle-aged adults: a randomized, multicenter, double-blind, placebo-controlled, parallel-group, dose-dependent clinical trial.",nad_sirtuin,other,publisher_html,https://pubmed.ncbi.nlm.nih.gov/36482258/,webplotdigitizer_or_metaDigitise,Use figure digitization only if exact numeric tables or supplements are unavailable.
