scenario,inpatient_cover_frac,age_min,che10,che25,che40cap,che10_delta,che25_delta,che40cap_delta,post_poverty,post_poverty_delta,fiscal_cost,outpatient_cover_frac,pension_topup_annual
S1 PM-JAY 70+ full inpatient cover,1.0,70,33.22315376619428,12.063544518690307,18.786728377518163,-2.4930674350581583,-1.5894718740020224,-1.9543122248748865,24.840564464945192,-0.5418119523082581,316542927475.1629,,
"S2 Outpatient (incl. medicines) cover, all 60+",,60,6.750564984831186,2.4938995062733293,2.9182718487178074,-28.96565621642125,-11.159116886419,-17.82276875367524,20.34297429872508,-5.039402118528372,2648249029633.682,1.0,
"S3 Pension top-up +Rs500/mo, all 60+",,60,34.22729813936639,12.585778820644586,16.557172847854183,-1.488923061886048,-1.067237572047743,-4.183867754538866,9.123939079193882,-16.25843733805957,894000000000.0,,6000.0
S4 Combined S1+S2+S3,1.0,60,0.0,0.0,0.0,-35.71622120125244,-13.65301639269233,-20.74104060239305,6.522772475976167,-18.859603941277285,4355274040690.9883,1.0,6000.0
