group,n_unweighted,che10,overshoot10,che25,overshoot25,che40cap,overshoot40cap
All 60+,31766,35.71622120125244,5.586840184689235,13.65301639269233,2.2018982079632785,20.74104060239305,4.252308340697927
70+,12550,37.041305954292866,5.739230055481642,13.995210687282597,2.246372926137229,21.153783284804064,4.509016622950021
Men 60+,15294,36.24406260012083,5.735836668914755,14.038660332412572,2.2907565944896158,21.018184691069365,4.285067435770755
Women 60+,16472,35.20386649743847,5.44221520887576,13.278687120800022,2.115646897611926,20.472027831185695,4.2205103868253495
Rural 60+,20961,36.97102186681299,5.884044332272096,14.379688097062147,2.3405195558332808,22.867470623664605,4.812966787029736
Urban 60+,10805,32.882706722643356,4.915711870533846,12.012090585080012,1.8888719185976348,15.939265772021582,2.9862635665457002
Multimorbid 60+,7576,46.453183010222084,8.004767025867649,19.9522478149697,3.3463214351411765,26.707433525455194,5.698201401872787
