method,feature,coef,ratio,ci_low,ci_high,p,importance
two_part_participation,const,0.7001633277772864,2.014081636085051,1.5305006597847863,2.6504561176637775,5.789826996660205e-07,
two_part_participation,age_years,-0.0012155258861410367,0.998785212566216,0.9949050012157666,1.002680557060137,0.5404998914889325,
two_part_participation,is_female,-0.10793640496373584,0.8976846829051706,0.8463116436055349,0.9521761823924012,0.00033084348222174137,
two_part_participation,is_rural,0.2775190650334786,1.31985128191277,1.2390433676760984,1.405929325649048,7.344276925246839e-18,
two_part_participation,multimorbidity_ge2,0.5403712508947485,1.7166440495387083,1.5946562053962565,1.8479637070639858,8.18796942481323e-47,
two_part_participation,functional_limitation,0.4626572346698609,1.5882888387547505,1.494208270159479,1.6882930483604315,6.862348523991116e-50,
two_part_participation,any_pension,0.01938417894303833,1.0195732719678436,0.9358706484782102,1.1107621107698598,0.6573888330210826,
two_part_participation,education,0.041227436225811924,1.0420890874043272,1.024612293045151,1.0598639831459935,1.7732010340011333e-06,
two_part_amount,const,9.83210987581566,18622.203341565913,14455.037581276136,23990.699114046387,0.0,
two_part_amount,age_years,0.0029497776218916833,1.002954132496819,0.9993855121777814,1.0065354956971837,0.1048021927956404,
two_part_amount,is_female,-0.001778200557840344,0.9982233795040771,0.9452967247813941,1.054113369131768,0.9489896963854799,
two_part_amount,is_rural,0.00639447936157958,1.0064149676921872,0.9483372389737813,1.0680494718217737,0.8329998092193109,
two_part_amount,multimorbidity_ge2,0.37948640017279783,1.4615337531529677,1.3761466211063837,1.5522189851311414,4.546147554095754e-35,
two_part_amount,functional_limitation,0.053650497753672116,1.0551157723728355,0.9936020298190272,1.1204378208775339,0.0800201599004965,
two_part_amount,any_pension,0.17192827096641217,1.1875926452859762,1.0989388051070998,1.2833983881385376,1.4025981016722603e-05,
two_part_amount,education,0.06548247355484701,1.0676740246192813,1.0514490286544245,1.0841493898240018,5.2321762381867465e-17,
shap,is_rural,,,,,,0.21465346523261886
shap,multimorbidity_ge2,,,,,,0.15029568229723447
shap,functional_limitation,,,,,,0.12770278635287444
shap,age_years,,,,,,0.05701882012648914
shap,education,,,,,,0.0404908118755988
shap,is_female,,,,,,0.034490922425664684
shap,any_pension,,,,,,0.017542194776180693
