study_group,cohort,n,mean_delta_bioage_reconstructed,sd_delta_bioage_reconstructed,median_delta_bioage_reconstructed,q1_delta_bioage_reconstructed,q3_delta_bioage_reconstructed
NCT02158897,FMD,52,-5.412980250655311,10.15219796894057,-5.646908699232442,-10.012856044910224,0.5403691835877269
NCT02158897,Control,19,4.9182134810660845,14.111762345058336,1.3179508285651518,-0.4785403154440417,11.013895496054403
NCT04150159,FMD,34,-10.17505474405858,20.674832833239826,-8.034161694837742,-20.568559599922896,-0.24348887346063441
